32649,212931
131484,247691
15805,50560
101624,242681
120089,216637
225217,49792
44131,67408
63353,200528
217771,92195
242982,4259
13699,93785
218086,191707
95036,138365
22083,164839
181500,4268
206389,70760
58515,96122
158616,37311
110805,206629
122468,87644
91014,153773
57714,75783
54500,157353
144318,18721
47204,5796
204780,230281
103860,83314
148523,180664
125869,30874
7482,138808
71352,54865
56146,91134
152310,153185
204525,153827
242803,15725
40016,198755
229878,91253
246024,163722
60201,101982
65712,206935
136104,61594
210806,51782
162130,64583
163797,243643
130750,135999
236584,129357
78453,153815
165485,161173
113057,205843
209015,119464
17941,96149
89512,207655
68361,170924
195333,169353
181874,60630
60120,187313
48079,109401
70546,125342
71628,32078
73070,106251
45941,186498
223779,182434
238471,54807
146648,248972
100825,110026
4513,138003
164985,221507
218969,41585
52670,1414
231937,76068
85515,110788
211612,103433
189779,160929
182938,232939
202610,33490
94163,210271
245449,192663
114237,171163
41611,41430
49964,147157
121406,111127
116940,74155
50717,130027
210729,109858
27077,656
72989,163785
165465,137678
89984,52169
175086,188889
39728,93360
105849,191542
98447,172239
154034,89587
188137,127720
44447,207934
104269,162005
111401,34886
137262,196351
214859,17047
4206,27751
216371,186210
218549,48842
143977,218324
217743,191919
32844,4172
164351,45182
193296,72925
36333,182451
239847,188047
169611,41534
249233,120523
199754,153062
49114,34144
22361,235084
164938,246829
163295,19711
70839,207828
57984,203335
204596,198671
109195,60268
205601,73553
30840,10789
216548,231703
111047,13203
23674,18680
220878,119963
157384,69190
35425,162874
49860,167484
14232,64002
167847,79839
85052,59280
38750,14839
72397,189191
27832,88340
35051,42183
84604,217980
249198,23166
67610,232111
177634,3059
221739,118063
188316,47581
165860,2021
85601,247528
24012,129730
246375,210783
71834,28169
186170,30808
167009,65880
166468,35089
42878,244697
77549,8016
97379,149209
162132,197305
134476,17871
95617,203839
152387,74966
215948,53957
142685,216568
79310,84330
134688,173042
211804,31878
69935,58888
1064,144743
146602,93801
198301,136830
233340,131748
17909,239780
241477,94022
25005,149058
200871,48350
158561,147046
2602,130565
241876,156034
121991,242588
227511,65213
137261,64237
132678,152818
115459,237876
228070,9215
216661,64888
60286,146435
79050,195058
1882,105654
105528,213010
213557,68470
156832,27983
93684,32198
209964,2208
18625,211949
19989,223934
35626,18490
51175,43524
51123,162407
20277,149791
240540,11460
210265,206264
211943,160547
179449,238890
234300,55442
216131,202543
149972,129310
141354,131231
104254,147377
120720,199743
178675,166521
203086,77406
172797,22470
122020,82247
85142,53007
89465,187807
108572,42021
53573,238410
190451,223375
36582,154520
246037,133735
83851,75266
162857,78694
19493,50456
51698,16432
